song,singer,genre,album,userRating
Aankh Marey,"Kumar Sanu, Mika Singh, Neha Kakkar",Dance,Simmba,8.8/10
Coca Cola,"Neha Kakkar, Tony Kakkar",DanceRomantic,Luka Chuppi,9.0/10
Apna Time Aayega,Ranveer Singh,Dance,Gully Boy,9.7/10
Mungda,"Jyotica Tangri, Shaan, Subhro Ganguly",Dance,Total Dhamaal,9.1/10
Tere Bin,"Asees Kaur, Rahat Fateh Ali Khan, Tanishk Bagchi",Romantic,Simmba,9.2/10
Gali Gali,Neha Kakkar,Dance,KGF,9.1/10
Chamma Chamma,"Arun, Ikka, Neha Kakkar, Romy",Dance,Fraud Saiyaan,9.2/10
Mere Gully Mein,Ranveer Singh,Dance,Gully Boy,9.5/10
Kamariya,Darshan Raval,Dance,Mitron,9.2/10
Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli",Romantic,Ek Ladki Ko Dekha Toh Aisa Laga,9.6/10
Swag Se Swagat,"Neha Bhasin, Vishal Dadlani",Dance,Tiger Zinda Hai,8.8/10
Poster Lagwa Do,"Mika Singh, Sunanda Sharma",Dance,Luka Chuppi,8.4/10
Daaru Wargi,Guru Randhawa,Dance,Cheat India,9.1/10
Dilbar,"Dhvani Bhanushali, Ikka, Neha Kakkar",Dance,Satyameva Jayate,9.2/10
Proper Patola,"Aastha Gill, Badshah, Diljit Dosanjh",Dance,Namaste England,9.0/10
Doori,Ranveer Singh,Dance,Gully Boy,9.7/10
Dil Diyan Gallan,Atif Aslam,Romantic,Tiger Zinda Hai,9.1/10
Husn Parcham,"Bhoomi Trivedi, Raja Kumari",Dance,Zero,9.0/10
Bom Diggy Diggy,"Jasmin Walia, Zack Knight",Dance,Sonu Ke Titu Ki Sweety,9.0/10
Issaqbaazi,"Divya Kumar, Sukhwinder Singh",Dance,Zero,9.1/10
Mere Naam Tu,Abhay Jodhpurkar,Romantic,Zero,9.2/10
High Rated Gabru – Nawabzaade,Guru Randhawa,Dance,Nawabzaade,9.2/10
Dekhte Dekhte,Atif Aslam,Romantic,Batti Gul Meter Chalu,9.5/10
Zingaat,"Ajay, Atul",Dance,Dhadak,8.6/10
Mile Ho Tum (Reprise),"Neha Kakkar, Tony Kakkar",Romantic,Fever,9.0/10
Dil Chori,"Ishers, Simar Kaur, Yo Yo Honey Singh",Dance,Sonu Ke Titu Ki Sweety,9.0/10
Tere Naal Nachna,"Badshah, Sunanda Sharma",Dance,Nawabzaade,9.2/10
Dil Meri Na Sune,Atif Aslam,Romantic,Genius,9.5/10
Dhadak Title Track,"Ajay Gogavale, Shreya Ghoshal",Romantic,Dhadak,9.4/10
Heeriye,"Deep Money, Meet Bros, Neha Bhasin",DanceRomantic,Race 3,8.7/10
Chogada,"Asees Kaur, Darshan Raval",Dance,Loveratri,9.3/10
Gud Naal Ishq Mitha,"Harshdeep Kaur, Navraj Hans",Dance,Ek Ladki Ko Dekha Toh Aisa Laga,9.3/10
Paniyon Sa,"Atif Aslam, Tulsi Kumar",Romantic,Satyameva Jayate,9.5/10
Milegi Milegi,Mika Singh,Dance,Stree,9.1/10
Morni Banke,"Guru Randhawa, Neha Kakkar",Dance,Badhaai Ho,9.0/10
Bhare Bazaar,"B Praak, Badshah, Payal Dev, Vishal Dadlani",Dance,Namaste England,9.0/10
Khalibali,Shivam Pathak,Dance,Padmaavat,9.1/10
Aao Kabhi Haveli Pe,"Badshah, Jigar, Nikhita Gandhi, Sachin Sanghvi",Dance,Stree,8.4/10
Badri Ki Dulhania,"Dev Negi, Ikka, Monali Thakur, Neha Kakkar",Dance,Badrinath Ki Dulhania,8.4/10
Cheez Badi,"Neha Kakkar, Udit Narayan",Dance,Machine,8.8/10
Dholida,"Neha Kakkar, Palak Muchchal, Raja Hassan, Udit Narayan",Dance,Loveratri,9.2/10
Sweetheart,Dev Negi,Dance,Kedarnath,9.2/10
Namo Namo,Amit Trivedi,Devotional,Kedarnath,9.6/10
Qaafirana,"Arijit Singh, Nikhita Gandhi",Romantic,Kedarnath,9.6/10
Tu Hi Re,"Armaan Malik, Shashaa Tirupati",Dance,2,9.0/10
Chhote Chhote Peg,"Navraj Hans, Neha Kakkar, Yo Yo Honey Singh",Dance,Sonu Ke Titu Ki Sweety,9.1/10
Galti Se Mistake,"Amit Mishra, Arijit Singh",Dance,Jagga Jasoos,8.5/10
Phir Mulaaqat,Jubin Nautiyal,Romantic,Cheat India,9.5/10
Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar",Dance,Baar Baar Dekho,8.5/10
Nashe Si Chadh Gayi,Arijit Singh,Dance,Befikre,8.9/10
Mera Pyar Tera Pyar,Arijit Singh,RomanticSad,Jalebi,9.6/10
Ding Dang,"Amit Mishra, Antara Mitra",Dance,Munna Michael,8.5/10
Main Tera Boyfriend,"Arijit Singh, Meet Bros, Neha Kakkar",Dance,Raabta,9.1/10
Laila Main Laila,Pawni Pandey,Dance,Raees,8.7/10
Ghoomar,"Shreya Ghoshal, Swaroop Khan",Dance,Padmaavat,8.6/10
Rafta Rafta Medley,"Akash Ojha, Disha Sharma, Jordi Patel, Rekha, Sonakshi Sinha, Vishal Mishra",Dance,Yamla Pagla Deewana Phir Se,9.3/10
Pal,"Arijit Singh, Shreya Ghoshal",Romantic,Jalebi,9.7/10
Patola,Guru Randhawa,Dance,Black Mail,8.9/10
Pallo Latke,"Fazilpuria, Jyotica Tangri, Yasser Desai",Dance,Shaadi Mein Zaroor Aana,9.0/10
Billionaire,"Simar Kaur, Singhsta, Yo Yo Honey Singh",Dance,Baazaar,9.3/10
This Party Is Over Now,Yo Yo Honey Singh,Dance,Mitron,9.3/10
Heer Badnaam,Romy,DanceSad,Zero,9.1/10
Tera Hua,Atif Aslam,Romantic,Loveratri,9.0/10
Jaan Nisaar,Arijit Singh,Romantic,Kedarnath,9.7/10
Akh Lad Jaaye,"Asees Kaur, Badshah, Jubin Nautiyal",DanceRomantic,Loveratri,9.2/10
Rangtaari,"Dev Negi, Yo Yo Honey Singh",Dance,Loveratri,9.1/10
The Humma Song,"Badshah, Jubin Nautiyal, Shashaa Tirupati",Dance,Ok Jaanu,9.0/10
Pehli Baar,Ajay Gogavale,Romantic,Dhadak,8.9/10
Tera Yaar Hoon Main,Arijit Singh,RomanticSad,Sonu Ke Titu Ki Sweety,9.5/10
Chhod Diya,Arijit Singh,Sad,Baazaar,9.7/10
Maine Tujhko Dekha,"Neeraj Shridhar, Sukriti Kakar",Dance,Golmaal Again,9.0/10
Allah Duhai Hai,"Amit Mishra, Jonita Gandhi, Sreerama Chandra",Dance,Race 3,8.1/10
Cham Cham,Monali Thakur,Dance,Baaghi,8.1/10
Kar Har Maidaan Fateh,"Shreya Ghoshal, Sukhwinder Singh",Motivational,Sanju,9.5/10
Kamariya,"Aastha Gill, Divya Kumar, Jigar Saraiya, Sachin Sanghvi",Dance,Stree,9.1/10
Tamma Tamma Again,"Anuradha Paudwal, Badshah, Bappi Lahiri",Dance,Badrinath Ki Dulhania,8.6/10
Tera Fitoor,Arijit Singh,Romantic,Genius,9.4/10
Mere Rashke Qamar,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan",Romantic,Baadshaho,9.0/10
The Breakup Song,"Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",Dance,Ae Dil Hai Mushkil,9.0/10
Naino Ne Bandhi,Yasser Desai,Romantic,Gold,9.6/10
Sanu Ek Pal Chain,Rahat Fateh Ali Khan,Romantic,Raid,9.3/10
Ban Ja Rani,Guru Randhawa,DanceRomantic,Tumhari Sulu,9.0/10
Zaalima,"Arijit Singh, Harshdeep Kaur",DanceRomantic,Raees,9.2/10
Baarish,"Ash King, Shashaa Tirupati",Romantic,Half Girlfriend,9.3/10
Aashiq Banaya Aapne,"Himesh Reshammiya, Neha Kakkar",Dance,Hate Story 4,9.1/10
Ek Do Teen Song,Shreya Ghoshal,Dance,Baaghi 2,8.6/10
Tere Liye,"Akanksha Bhandari, Atif Aslam",Romantic,Namaste England,9.5/10
